writer_id,writer_name
782,Matthias Sahli
783,Viveka
784,Babusivan
785,Libby Spears
786,Karen Clark
787,Andr  s S  t  
788,Yevhen Holubenko
789,Sergei Chetvertkov
790,Aleksey Platunov
791,Olga Linek Scholl
792,Allen Holubar
793,Honey Irani
794,Javed Akhtar
795,Ling Yun
796,Gu Long
797,Manon Chanc  
798,St  phane Miquel
799,Ivan Cotroneo
800,Sabine Radebold
801,Paul Milbers
802,Kai Berg Madsen
803,Fred Kelemen
804,Dejan Strika
805,Ingrid Valencic
806,Basil Dickey
807,Adam Hobbs
808,Hilde Van Mieghem
809,Antonin Peretjatko
810,Fr  d  ric Ciriez
811,Maud Ameline
812,Yang Jung-woong
813,Amos Poe
814,Jules Verne
815,Christy Marx
816,Tom van Overloop
817,Jerry Sackheim
818,Erwin S. Gelsey
819,Jerome Gruskin
820,Manuel Caballero
821,Brian Nelson
822,Bert Williams
823,Thibaut Wohlfahrt
824,Gr  gory Carnoli
825,Emma Seligman
826,Joss Whedon
827,Barbara Herndon
828,Lorraine Gallacher
829,Anthony Bell
830,Jill Gorey
831,Enda Walsh
832,David Bowie
833,Alexandre Dumas
834,Michael Robinson
835,Robert Towne
836,Jason Paul Laxamana
837,Kurt Steinwendner
838,Wolfgang Kudrnofsky
839,Jussi Kangas
840,Marguerite Robinson
841,Charles 'Chic' Sale
842,Connor McLaughlin
843,Katarzyna Wi  niowska
844,Derek Goodwin
845,Hayden Rhodes
846,Joseph A. Bailey
847,Caroll Spinney
848,Jon Stone
849,Alan James
850,Arthur V. Jones
851,Jack Roberts
852,Morton Grant
853,Arnold Belgard
854,Tai Kat  
855,Shin Hasegawa
856,James Landis
857,Rene Perez
858,Edith Markus
859,Buz Kohan
860,Alexei Petrov
861,Hanan Peled
862,Tara Illenberger
863,R. Zachary Shildwachter
864,Patrick O'Bell
865,Howard Frank Mosher
866,Kar de Mumma
867,Stig Olin
868,Tom DeSanto
869,Carlo Verdone
870,Francesca Marciano
871,Xavier Frith
872,Mark Steele
873,Andrea Jobe
874,Max Lucado
875,Peter Kylberg
876,Toni Morej  n
877,Paloma Revilla
878,NH Tuhin
879,Ronnie Kirk
880,Jonathan Ogilvie
881,Hicham Lasri
882,Dilip Shukla
883,Majrooh Sultanpuri
884,Rajkumar Santoshi
885,Manith Mong
886,Rithy Lomorpich
887,Conor Van Sise
888,Susana Maria
889,Eduardo del Llano Rodr  guez
890,Fernando P  rez
891,Juan Ignacio Zamparini
892,Ana Falcone
893,Dennis Potter
894,Ulises de la Orden
895,Radovan Poto    r
896,Alexander Mihalkovich
897,Hanna Badziaka
